build_commit,build_number,cuda,opencl,vulkan,kompute,metal,sycl,gpu_blas,blas,cpu_info,gpu_info,model_filename,model_type,model_size,model_n_params,n_batch,n_threads,type_k,type_v,n_gpu_layers,split_mode,main_gpu,no_kv_offload,mul_mat_q,tensor_split,use_mmap,n_prompt,n_gen,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"9e359a4f","2254","0","0","0","0","0","0","0","0","AMD Ryzen 7 5800H with Radeon Graphics","NVIDIA GeForce RTX 3060 Laptop GPU","quantized/Mistral-7B-Instruct-v0.2/Mistral-7B-Instruct-v0.2-Q4_0.gguf","llama 7B Q4_0","4108181504","7241732096","512","10","f16","f16","0","layer","0","0","1","0.00","0","512","0","2024-02-25T08:08:15Z","31705229113","556627553","16.152803","0.288160"
"9e359a4f","2254","0","0","0","0","0","0","0","0","AMD Ryzen 7 5800H with Radeon Graphics","NVIDIA GeForce RTX 3060 Laptop GPU","quantized/Mistral-7B-Instruct-v0.2/Mistral-7B-Instruct-v0.2-Q4_0.gguf","llama 7B Q4_0","4108181504","7241732096","512","10","f16","f16","0","layer","0","0","1","0.00","0","0","128","2024-02-25T08:10:54Z","13626544201","43521791","9.393508","0.030112"
"9e359a4f","2254","0","0","0","0","0","0","0","0","AMD Ryzen 7 5800H with Radeon Graphics","NVIDIA GeForce RTX 3060 Laptop GPU","quantized/Mistral-7B-Instruct-v0.2/Mistral-7B-Instruct-v0.2-Q5_0.gguf","llama 7B Q5_0","4996980736","7241732096","512","10","f16","f16","0","layer","0","0","1","0.00","0","512","0","2024-02-25T08:12:09Z","45534639871","4077600609","11.275735","0.660160"
"9e359a4f","2254","0","0","0","0","0","0","0","0","AMD Ryzen 7 5800H with Radeon Graphics","NVIDIA GeForce RTX 3060 Laptop GPU","quantized/Mistral-7B-Instruct-v0.2/Mistral-7B-Instruct-v0.2-Q5_0.gguf","llama 7B Q5_0","4996980736","7241732096","512","10","f16","f16","0","layer","0","0","1","0.00","0","0","128","2024-02-25T08:15:57Z","17370749729","602806536","7.375788","0.255038"
"9e359a4f","2254","0","0","0","0","0","0","0","0","AMD Ryzen 7 5800H with Radeon Graphics","NVIDIA GeForce RTX 3060 Laptop GPU","quantized/Mistral-7B-Instruct-v0.2/Mistral-7B-Instruct-v0.2-Q4_0.gguf","llama 7B Q4_0","4108181504","7241732096","512","1","f16","f16","0","layer","0","0","1","0.00","0","512","0","2024-02-25T08:31:13Z","163667592545","3952878157","3.129295","0.061840"
"9e359a4f","2254","0","0","0","0","0","0","0","0","AMD Ryzen 7 5800H with Radeon Graphics","NVIDIA GeForce RTX 3060 Laptop GPU","quantized/Mistral-7B-Instruct-v0.2/Mistral-7B-Instruct-v0.2-Q4_0.gguf","llama 7B Q4_0","4108181504","7241732096","512","1","f16","f16","0","layer","0","0","1","0.00","0","0","128","2024-02-25T08:44:52Z","44065871849","559157870","2.905111","0.036359"
"9e359a4f","2254","0","0","0","0","0","0","0","0","AMD Ryzen 7 5800H with Radeon Graphics","NVIDIA GeForce RTX 3060 Laptop GPU","quantized/Mistral-7B-Instruct-v0.2/Mistral-7B-Instruct-v0.2-Q4_0.gguf","llama 7B Q4_0","4108181504","7241732096","512","2","f16","f16","0","layer","0","0","1","0.00","0","512","0","2024-02-25T08:48:32Z","86337790507","226205651","5.930228","0.015534"
"9e359a4f","2254","0","0","0","0","0","0","0","0","AMD Ryzen 7 5800H with Radeon Graphics","NVIDIA GeForce RTX 3060 Laptop GPU","quantized/Mistral-7B-Instruct-v0.2/Mistral-7B-Instruct-v0.2-Q4_0.gguf","llama 7B Q4_0","4108181504","7241732096","512","2","f16","f16","0","layer","0","0","1","0.00","0","0","128","2024-02-25T08:55:44Z","23222769701","408388078","5.513172","0.095259"
"9e359a4f","2254","0","0","0","0","0","0","0","0","AMD Ryzen 7 5800H with Radeon Graphics","NVIDIA GeForce RTX 3060 Laptop GPU","quantized/Mistral-7B-Instruct-v0.2/Mistral-7B-Instruct-v0.2-Q4_0.gguf","llama 7B Q4_0","4108181504","7241732096","512","3","f16","f16","0","layer","0","0","1","0.00","0","512","0","2024-02-25T08:57:41Z","62462515357","285223886","8.197053","0.037423"
"9e359a4f","2254","0","0","0","0","0","0","0","0","AMD Ryzen 7 5800H with Radeon Graphics","NVIDIA GeForce RTX 3060 Laptop GPU","quantized/Mistral-7B-Instruct-v0.2/Mistral-7B-Instruct-v0.2-Q4_0.gguf","llama 7B Q4_0","4108181504","7241732096","512","3","f16","f16","0","layer","0","0","1","0.00","0","0","128","2024-02-25T09:02:53Z","17625548217","226434035","7.263136","0.092516"
